=================================================================================
MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue
=================================================================================

MDC 08 Assignment of Diagnosis Codes

  A0223   Salmonella arthritis
  0SWM33Z Revision of Infusion Device in Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWM34Z Revision of Internal Fixation Device in Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWM35Z Revision of External Fixation Device in Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWM37Z Revision of Autologous Tissue Substitute in Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWM38Z Revision of Spacer in Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWM3KZ Revision of Nonautologous Tissue Substitute in Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWM40Z Revision of Drainage Device in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWM43Z Revision of Infusion Device in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWM44Z Revision of Internal Fixation Device in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWM45Z Revision of External Fixation Device in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWM47Z Revision of Autologous Tissue Substitute in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWM48Z Revision of Spacer in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWM4KZ Revision of Nonautologous Tissue Substitute in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWN00Z Revision of Drainage Device in Left Metatarsal-Phalangeal Joint, Open Approach
  0SWN03Z Revision of Infusion Device in Left Metatarsal-Phalangeal Joint, Open Approach
  0SWN04Z Revision of Internal Fixation Device in Left Metatarsal-Phalangeal Joint, Open Approach
  0SWN05Z Revision of External Fixation Device in Left Metatarsal-Phalangeal Joint, Open Approach
  0SWN07Z Revision of Autologous Tissue Substitute in Left Metatarsal-Phalangeal Joint, Open Approach
  0SWN08Z Revision of Spacer in Left Metatarsal-Phalangeal Joint, Open Approach
  0SWN0KZ Revision of Nonautologous Tissue Substitute in Left Metatarsal-Phalangeal Joint, Open Approach
  0SWN30Z Revision of Drainage Device in Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWN33Z Revision of Infusion Device in Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWN34Z Revision of Internal Fixation Device in Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWN35Z Revision of External Fixation Device in Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWN37Z Revision of Autologous Tissue Substitute in Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWN38Z Revision of Spacer in Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWN3KZ Revision of Nonautologous Tissue Substitute in Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SWN40Z Revision of Drainage Device in Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWN43Z Revision of Infusion Device in Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWN44Z Revision of Internal Fixation Device in Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWN45Z Revision of External Fixation Device in Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWN47Z Revision of Autologous Tissue Substitute in Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWN48Z Revision of Spacer in Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWN4KZ Revision of Nonautologous Tissue Substitute in Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWP00Z Revision of Drainage Device in Right Toe Phalangeal Joint, Open Approach
  0SWP03Z Revision of Infusion Device in Right Toe Phalangeal Joint, Open Approach
  0SWP04Z Revision of Internal Fixation Device in Right Toe Phalangeal Joint, Open Approach
  0SWP05Z Revision of External Fixation Device in Right Toe Phalangeal Joint, Open Approach
  0SWP07Z Revision of Autologous Tissue Substitute in Right Toe Phalangeal Joint, Open Approach
  0SWP08Z Revision of Spacer in Right Toe Phalangeal Joint, Open Approach
  0SWP0KZ Revision of Nonautologous Tissue Substitute in Right Toe Phalangeal Joint, Open Approach
  0SWP30Z Revision of Drainage Device in Right Toe Phalangeal Joint, Percutaneous Approach
  0SWP33Z Revision of Infusion Device in Right Toe Phalangeal Joint, Percutaneous Approach
  0SWP34Z Revision of Internal Fixation Device in Right Toe Phalangeal Joint, Percutaneous Approach
  0SWP35Z Revision of External Fixation Device in Right Toe Phalangeal Joint, Percutaneous Approach
  0SWP37Z Revision of Autologous Tissue Substitute in Right Toe Phalangeal Joint, Percutaneous Approach
  0SWP38Z Revision of Spacer in Right Toe Phalangeal Joint, Percutaneous Approach
  0SWP3KZ Revision of Nonautologous Tissue Substitute in Right Toe Phalangeal Joint, Percutaneous Approach
  0SWP40Z Revision of Drainage Device in Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWP43Z Revision of Infusion Device in Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWP44Z Revision of Internal Fixation Device in Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWP45Z Revision of External Fixation Device in Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWP47Z Revision of Autologous Tissue Substitute in Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWP48Z Revision of Spacer in Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWP4KZ Revision of Nonautologous Tissue Substitute in Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWQ00Z Revision of Drainage Device in Left Toe Phalangeal Joint, Open Approach
  0SWQ03Z Revision of Infusion Device in Left Toe Phalangeal Joint, Open Approach
  0SWQ04Z Revision of Internal Fixation Device in Left Toe Phalangeal Joint, Open Approach
  0SWQ05Z Revision of External Fixation Device in Left Toe Phalangeal Joint, Open Approach
  0SWQ07Z Revision of Autologous Tissue Substitute in Left Toe Phalangeal Joint, Open Approach
  0SWQ08Z Revision of Spacer in Left Toe Phalangeal Joint, Open Approach
  0SWQ0KZ Revision of Nonautologous Tissue Substitute in Left Toe Phalangeal Joint, Open Approach
  0SWQ30Z Revision of Drainage Device in Left Toe Phalangeal Joint, Percutaneous Approach
  0SWQ33Z Revision of Infusion Device in Left Toe Phalangeal Joint, Percutaneous Approach
  0SWQ34Z Revision of Internal Fixation Device in Left Toe Phalangeal Joint, Percutaneous Approach
  0SWQ35Z Revision of External Fixation Device in Left Toe Phalangeal Joint, Percutaneous Approach
  0SWQ37Z Revision of Autologous Tissue Substitute in Left Toe Phalangeal Joint, Percutaneous Approach
  0SWQ38Z Revision of Spacer in Left Toe Phalangeal Joint, Percutaneous Approach
  0SWQ3KZ Revision of Nonautologous Tissue Substitute in Left Toe Phalangeal Joint, Percutaneous Approach
  0SWQ40Z Revision of Drainage Device in Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWQ43Z Revision of Infusion Device in Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWQ44Z Revision of Internal Fixation Device in Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWQ45Z Revision of External Fixation Device in Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWQ47Z Revision of Autologous Tissue Substitute in Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWQ48Z Revision of Spacer in Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SWQ4KZ Revision of Nonautologous Tissue Substitute in Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0Y6P0Z0 Detachment at Right 1st Toe, Complete, Open Approach
  0Y6P0Z1 Detachment at Right 1st Toe, High, Open Approach
  0Y6P0Z3 Detachment at Right 1st Toe, Low, Open Approach
  0Y6Q0Z0 Detachment at Left 1st Toe, Complete, Open Approach
  0Y6Q0Z1 Detachment at Left 1st Toe, High, Open Approach
  0Y6Q0Z3 Detachment at Left 1st Toe, Low, Open Approach
  0Y6R0Z0 Detachment at Right 2nd Toe, Complete, Open Approach
  0Y6R0Z1 Detachment at Right 2nd Toe, High, Open Approach
  0Y6R0Z2 Detachment at Right 2nd Toe, Mid, Open Approach
  0Y6R0Z3 Detachment at Right 2nd Toe, Low, Open Approach
  0Y6S0Z0 Detachment at Left 2nd Toe, Complete, Open Approach
  0Y6S0Z1 Detachment at Left 2nd Toe, High, Open Approach
  0Y6S0Z2 Detachment at Left 2nd Toe, Mid, Open Approach
  0Y6S0Z3 Detachment at Left 2nd Toe, Low, Open Approach
  0Y6T0Z0 Detachment at Right 3rd Toe, Complete, Open Approach
  0Y6T0Z1 Detachment at Right 3rd Toe, High, Open Approach
  0Y6T0Z2 Detachment at Right 3rd Toe, Mid, Open Approach
  0Y6T0Z3 Detachment at Right 3rd Toe, Low, Open Approach
  0Y6U0Z0 Detachment at Left 3rd Toe, Complete, Open Approach
  0Y6U0Z1 Detachment at Left 3rd Toe, High, Open Approach
  0Y6U0Z2 Detachment at Left 3rd Toe, Mid, Open Approach
  0Y6U0Z3 Detachment at Left 3rd Toe, Low, Open Approach
  0Y6V0Z0 Detachment at Right 4th Toe, Complete, Open Approach
  0Y6V0Z1 Detachment at Right 4th Toe, High, Open Approach
  0Y6V0Z2 Detachment at Right 4th Toe, Mid, Open Approach
  0Y6V0Z3 Detachment at Right 4th Toe, Low, Open Approach
  0Y6W0Z0 Detachment at Left 4th Toe, Complete, Open Approach
  0Y6W0Z1 Detachment at Left 4th Toe, High, Open Approach
  0Y6W0Z2 Detachment at Left 4th Toe, Mid, Open Approach
  0Y6W0Z3 Detachment at Left 4th Toe, Low, Open Approach
  0Y6X0Z0 Detachment at Right 5th Toe, Complete, Open Approach
  0Y6X0Z1 Detachment at Right 5th Toe, High, Open Approach
  0Y6X0Z2 Detachment at Right 5th Toe, Mid, Open Approach
  0Y6X0Z3 Detachment at Right 5th Toe, Low, Open Approach
  0Y6Y0Z0 Detachment at Left 5th Toe, Complete, Open Approach
  0Y6Y0Z1 Detachment at Left 5th Toe, High, Open Approach
  0Y6Y0Z2 Detachment at Left 5th Toe, Mid, Open Approach
  0Y6Y0Z3 Detachment at Left 5th Toe, Low, Open Approach
  0YMP0ZZ Reattachment of Right 1st Toe, Open Approach
  0YMQ0ZZ Reattachment of Left 1st Toe, Open Approach
  0YMR0ZZ Reattachment of Right 2nd Toe, Open Approach
  0YMS0ZZ Reattachment of Left 2nd Toe, Open Approach
  0YMT0ZZ Reattachment of Right 3rd Toe, Open Approach
  0YMU0ZZ Reattachment of Left 3rd Toe, Open Approach
  0YMV0ZZ Reattachment of Right 4th Toe, Open Approach
  0YMW0ZZ Reattachment of Left 4th Toe, Open Approach
  0YMX0ZZ Reattachment of Right 5th Toe, Open Approach
  0YMY0ZZ Reattachment of Left 5th Toe, Open Approach
  XNRL099 Replacement of Right Tarsal with Talar Prosthesis Synthetic Substitute, Open Approach, New Technology Group 9
  XNRM099 Replacement of Left Tarsal with Talar Prosthesis Synthetic Substitute, Open Approach, New Technology Group 9
  XRGL0B9 Fusion of Right Tarsal Joint using Open-truss Design Internal Fixation Device, Open Approach, New Technology Group 9
  XRGL0CA Fusion of Right Tarsal Joint using Gyroid-Sheet Lattice Design Internal Fixation Device, Open Approach, New Technology Group 10
  XRGM0B9 Fusion of Left Tarsal Joint using Open-truss Design Internal Fixation Device, Open Approach, New Technology Group 9
  XRGM0CA Fusion of Left Tarsal Joint using Gyroid-Sheet Lattice Design Internal Fixation Device, Open Approach, New Technology Group 10

+--------------------------+
|  Soft Tissue Procedures  |
+--------+--------+--------+
|  MCC   |   CC   |  DRG   |
+--------+--------+--------+
|  Yes   |  n/a   |  500   |
+--------+--------+--------+
|   No   |  Yes   |  501   |
+--------+--------+--------+
|   No   |   No   |  502   |
+--------+--------+--------+

DRG 500 Soft Tissue Procedures with MCC
DRG 501 Soft Tissue Procedures with CC
DRG 502 Soft Tissue Procedures without CC/MCC

OPERATING ROOM PROCEDURES

  0HDT0ZZ Extraction of Right Breast, Open Approach
  0HDU0ZZ Extraction of Left Breast, Open Approach
  0HDV0ZZ Extraction of Bilateral Breast, Open Approach
  0HDY0ZZ Extraction of Supernumerary Breast, Open Approach
  0J800ZZ Division of Scalp Subcutaneous Tissue and Fascia, Open Approach
  0J803ZZ Division of Scalp Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J840ZZ Division of Right Neck Subcutaneous Tissue and Fascia, Open Approach
  0J843ZZ Division of Right Neck Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J850ZZ Division of Left Neck Subcutaneous Tissue and Fascia, Open Approach
  0J853ZZ Division of Left Neck Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J860ZZ Division of Chest Subcutaneous Tissue and Fascia, Open Approach
  0J863ZZ Division of Chest Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J870ZZ Division of Back Subcutaneous Tissue and Fascia, Open Approach
  0J873ZZ Division of Back Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J880ZZ Division of Abdomen Subcutaneous Tissue and Fascia, Open Approach
  0J883ZZ Division of Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J890ZZ Division of Buttock Subcutaneous Tissue and Fascia, Open Approach
  0J893ZZ Division of Buttock Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8B0ZZ Division of Perineum Subcutaneous Tissue and Fascia, Open Approach
  0J8B3ZZ Division of Perineum Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8C0ZZ Division of Pelvic Region Subcutaneous Tissue and Fascia, Open Approach
  0J8C3ZZ Division of Pelvic Region Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8D0ZZ Division of Right Upper Arm Subcutaneous Tissue and Fascia, Open Approach
  0J8D3ZZ Division of Right Upper Arm Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8F0ZZ Division of Left Upper Arm Subcutaneous Tissue and Fascia, Open Approach
  0J8F3ZZ Division of Left Upper Arm Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8G0ZZ Division of Right Lower Arm Subcutaneous Tissue and Fascia, Open Approach
  0J8G3ZZ Division of Right Lower Arm Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8H0ZZ Division of Left Lower Arm Subcutaneous Tissue and Fascia, Open Approach
  0J8H3ZZ Division of Left Lower Arm Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8L0ZZ Division of Right Upper Leg Subcutaneous Tissue and Fascia, Open Approach
  0J8L3ZZ Division of Right Upper Leg Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8M0ZZ Division of Left Upper Leg Subcutaneous Tissue and Fascia, Open Approach
  0J8M3ZZ Division of Left Upper Leg Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8N0ZZ Division of Right Lower Leg Subcutaneous Tissue and Fascia, Open Approach
  0J8N3ZZ Division of Right Lower Leg Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8P0ZZ Division of Left Lower Leg Subcutaneous Tissue and Fascia, Open Approach
  0J8P3ZZ Division of Left Lower Leg Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8Q0ZZ Division of Right Foot Subcutaneous Tissue and Fascia, Open Approach
  0J8Q3ZZ Division of Right Foot Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8R0ZZ Division of Left Foot Subcutaneous Tissue and Fascia, Open Approach
  0J8R3ZZ Division of Left Foot Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8S0ZZ Division of Head and Neck Subcutaneous Tissue and Fascia, Open Approach
  0J8S3ZZ Division of Head and Neck Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8T0ZZ Division of Trunk Subcutaneous Tissue and Fascia, Open Approach
  0J8T3ZZ Division of Trunk Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8V0ZZ Division of Upper Extremity Subcutaneous Tissue and Fascia, Open Approach
  0J8V3ZZ Division of Upper Extremity Subcutaneous Tissue and Fascia, Percutaneous Approach
  0J8W0ZZ Division of Lower Extremity Subcutaneous Tissue and Fascia, Open Approach
  0J8W3ZZ Division of Lower Extremity Subcutaneous Tissue and Fascia, Percutaneous Approach
  0JD00ZZ Extraction of Scalp Subcutaneous Tissue and Fascia, Open Approach
  0JD10ZZ Extraction of Face Subcutaneous Tissue and Fascia, Open Approach
  0JD40ZZ Extraction of Right Neck Subcutaneous Tissue and Fascia, Open Approach
