:======================================================================:
|    MDC 12 Diseases and Disorders of the Male Reproductive System     |
:======================================================================:

MDC 12 Assignment of Diagnosis Codes

  A1814   Tuberculosis of prostate
  02LQ3CZ  Occlusion of Right Pulmonary Artery with Extraluminal Device, Percutaneous Approach
  02LQ3DZ  Occlusion of Right Pulmonary Artery with Intraluminal Device, Percutaneous Approach
  02LQ3ZZ  Occlusion of Right Pulmonary Artery, Percutaneous Approach
  02LQ4CZ  Occlusion of Right Pulmonary Artery with Extraluminal Device, Percutaneous Endoscopic Approach
  02LQ4DZ  Occlusion of Right Pulmonary Artery with Intraluminal Device, Percutaneous Endoscopic Approach
  02LQ4ZZ  Occlusion of Right Pulmonary Artery, Percutaneous Endoscopic Approach
  02LR0CT  Occlusion of Ductus Arteriosus with Extraluminal Device, Open Approach
  02LR0CZ  Occlusion of Left Pulmonary Artery with Extraluminal Device, Open Approach
  02LR0DT  Occlusion of Ductus Arteriosus with Intraluminal Device, Open Approach
  02LR0DZ  Occlusion of Left Pulmonary Artery with Intraluminal Device, Open Approach
  02LR0ZT  Occlusion of Ductus Arteriosus, Open Approach
  02LR0ZZ  Occlusion of Left Pulmonary Artery, Open Approach
  02LR3CT  Occlusion of Ductus Arteriosus with Extraluminal Device, Percutaneous Approach
  02LR3CZ  Occlusion of Left Pulmonary Artery with Extraluminal Device, Percutaneous Approach
  02LR3DT  Occlusion of Ductus Arteriosus with Intraluminal Device, Percutaneous Approach
  02LR3DZ  Occlusion of Left Pulmonary Artery with Intraluminal Device, Percutaneous Approach
  02LR3ZT  Occlusion of Ductus Arteriosus, Percutaneous Approach
  02LR3ZZ  Occlusion of Left Pulmonary Artery, Percutaneous Approach
  02LR4CT  Occlusion of Ductus Arteriosus with Extraluminal Device, Percutaneous Endoscopic Approach
  02LR4CZ  Occlusion of Left Pulmonary Artery with Extraluminal Device, Percutaneous Endoscopic Approach
  02LR4DT  Occlusion of Ductus Arteriosus with Intraluminal Device, Percutaneous Endoscopic Approach
  02LR4DZ  Occlusion of Left Pulmonary Artery with Intraluminal Device, Percutaneous Endoscopic Approach
  02LR4ZT  Occlusion of Ductus Arteriosus, Percutaneous Endoscopic Approach
  02LR4ZZ  Occlusion of Left Pulmonary Artery, Percutaneous Endoscopic Approach
  02LS0CZ  Occlusion of Right Pulmonary Vein with Extraluminal Device, Open Approach
  02LS0DZ  Occlusion of Right Pulmonary Vein with Intraluminal Device, Open Approach
  02LS0ZZ  Occlusion of Right Pulmonary Vein, Open Approach
  02LS3CZ  Occlusion of Right Pulmonary Vein with Extraluminal Device, Percutaneous Approach
  02LS3DZ  Occlusion of Right Pulmonary Vein with Intraluminal Device, Percutaneous Approach
  02LS3ZZ  Occlusion of Right Pulmonary Vein, Percutaneous Approach
  02LS4CZ  Occlusion of Right Pulmonary Vein with Extraluminal Device, Percutaneous Endoscopic Approach
  02LS4DZ  Occlusion of Right Pulmonary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
  02LS4ZZ  Occlusion of Right Pulmonary Vein, Percutaneous Endoscopic Approach
  02LT0CZ  Occlusion of Left Pulmonary Vein with Extraluminal Device, Open Approach
  02LT0DZ  Occlusion of Left Pulmonary Vein with Intraluminal Device, Open Approach
  02LT0ZZ  Occlusion of Left Pulmonary Vein, Open Approach
  02LT3CZ  Occlusion of Left Pulmonary Vein with Extraluminal Device, Percutaneous Approach
  02LT3DZ  Occlusion of Left Pulmonary Vein with Intraluminal Device, Percutaneous Approach
  02LT3ZZ  Occlusion of Left Pulmonary Vein, Percutaneous Approach
  02LT4CZ  Occlusion of Left Pulmonary Vein with Extraluminal Device, Percutaneous Endoscopic Approach
  02LT4DZ  Occlusion of Left Pulmonary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
  02LT4ZZ  Occlusion of Left Pulmonary Vein, Percutaneous Endoscopic Approach
  02LV0CZ  Occlusion of Superior Vena Cava with Extraluminal Device, Open Approach
  02LV0DZ  Occlusion of Superior Vena Cava with Intraluminal Device, Open Approach
  02LV0ZZ  Occlusion of Superior Vena Cava, Open Approach
  02LV3CZ  Occlusion of Superior Vena Cava with Extraluminal Device, Percutaneous Approach
  02LV3DZ  Occlusion of Superior Vena Cava with Intraluminal Device, Percutaneous Approach
  02LV3ZZ  Occlusion of Superior Vena Cava, Percutaneous Approach
  02LV4CZ  Occlusion of Superior Vena Cava with Extraluminal Device, Percutaneous Endoscopic Approach
  02LV4DZ  Occlusion of Superior Vena Cava with Intraluminal Device, Percutaneous Endoscopic Approach
  02LV4ZZ  Occlusion of Superior Vena Cava, Percutaneous Endoscopic Approach
  02LW0DJ  Occlusion of Thoracic Aorta, Descending with Intraluminal Device, Temporary, Open Approach
  02LW3DJ  Occlusion of Thoracic Aorta, Descending with Intraluminal Device, Temporary, Percutaneous Approach
  02N40ZZ  Release Coronary Vein, Open Approach
  02N43ZZ  Release Coronary Vein, Percutaneous Approach
  02N44ZZ  Release Coronary Vein, Percutaneous Endoscopic Approach
  02N80ZZ  Release Conduction Mechanism, Open Approach
  02N83ZZ  Release Conduction Mechanism, Percutaneous Approach
  02N84ZZ  Release Conduction Mechanism, Percutaneous Endoscopic Approach
  02NN0ZZ  Release Pericardium, Open Approach
  02NN3ZZ  Release Pericardium, Percutaneous Approach
  02NN4ZZ  Release Pericardium, Percutaneous Endoscopic Approach
  02PA0MZ  Removal of Cardiac Lead from Heart, Open Approach
  02PA3MZ  Removal of Cardiac Lead from Heart, Percutaneous Approach
  02PA4MZ  Removal of Cardiac Lead from Heart, Percutaneous Endoscopic Approach
  02Q60ZZ  Repair Right Atrium, Open Approach
  02Q63ZZ  Repair Right Atrium, Percutaneous Approach
  02Q64ZZ  Repair Right Atrium, Percutaneous Endoscopic Approach
  02Q70ZZ  Repair Left Atrium, Open Approach
  02Q73ZZ  Repair Left Atrium, Percutaneous Approach
  02Q74ZZ  Repair Left Atrium, Percutaneous Endoscopic Approach
  02Q80ZZ  Repair Conduction Mechanism, Open Approach
  02Q83ZZ  Repair Conduction Mechanism, Percutaneous Approach
  02Q84ZZ  Repair Conduction Mechanism, Percutaneous Endoscopic Approach
  02QA0ZZ  Repair Heart, Open Approach
  02QA3ZZ  Repair Heart, Percutaneous Approach
  02QA4ZZ  Repair Heart, Percutaneous Endoscopic Approach
  02QK0ZZ  Repair Right Ventricle, Open Approach
  02QK3ZZ  Repair Right Ventricle, Percutaneous Approach
  02QK4ZZ  Repair Right Ventricle, Percutaneous Endoscopic Approach
  02QL0ZZ  Repair Left Ventricle, Open Approach
  02QL3ZZ  Repair Left Ventricle, Percutaneous Approach
  02QL4ZZ  Repair Left Ventricle, Percutaneous Endoscopic Approach
  02QN0ZZ  Repair Pericardium, Open Approach
  02QN3ZZ  Repair Pericardium, Percutaneous Approach
  02QN4ZZ  Repair Pericardium, Percutaneous Endoscopic Approach
  02QP0ZZ  Repair Pulmonary Trunk, Open Approach
  02QP3ZZ  Repair Pulmonary Trunk, Percutaneous Approach
  02QP4ZZ  Repair Pulmonary Trunk, Percutaneous Endoscopic Approach
  02QQ0ZZ  Repair Right Pulmonary Artery, Open Approach
  02QQ3ZZ  Repair Right Pulmonary Artery, Percutaneous Approach
  02QQ4ZZ  Repair Right Pulmonary Artery, Percutaneous Endoscopic Approach
  02QR0ZZ  Repair Left Pulmonary Artery, Open Approach
  02QR3ZZ  Repair Left Pulmonary Artery, Percutaneous Approach
  02QR4ZZ  Repair Left Pulmonary Artery, Percutaneous Endoscopic Approach
  02QS0ZZ  Repair Right Pulmonary Vein, Open Approach
  02QS3ZZ  Repair Right Pulmonary Vein, Percutaneous Approach
  02QS4ZZ  Repair Right Pulmonary Vein, Percutaneous Endoscopic Approach
  02QT0ZZ  Repair Left Pulmonary Vein, Open Approach
  02QT3ZZ  Repair Left Pulmonary Vein, Percutaneous Approach
  02QT4ZZ  Repair Left Pulmonary Vein, Percutaneous Endoscopic Approach
  02QV0ZZ  Repair Superior Vena Cava, Open Approach
  02QV3ZZ  Repair Superior Vena Cava, Percutaneous Approach
  02QV4ZZ  Repair Superior Vena Cava, Percutaneous Endoscopic Approach
  02QW0ZZ  Repair Thoracic Aorta, Descending, Open Approach
  02QW3ZZ  Repair Thoracic Aorta, Descending, Percutaneous Approach
  02QW4ZZ  Repair Thoracic Aorta, Descending, Percutaneous Endoscopic Approach
  02QX0ZZ  Repair Thoracic Aorta, Ascending/Arch, Open Approach
  02QX3ZZ  Repair Thoracic Aorta, Ascending/Arch, Percutaneous Approach
  02QX4ZZ  Repair Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach
  02R507Z  Replacement of Atrial Septum with Autologous Tissue Substitute, Open Approach
  02R508Z  Replacement of Atrial Septum with Zooplastic Tissue, Open Approach
  02R50JZ  Replacement of Atrial Septum with Synthetic Substitute, Open Approach
  02R50KZ  Replacement of Atrial Septum with Nonautologous Tissue Substitute, Open Approach
  02R547Z  Replacement of Atrial Septum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  02R548Z  Replacement of Atrial Septum with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02R54JZ  Replacement of Atrial Septum with Synthetic Substitute, Percutaneous Endoscopic Approach
  02R54KZ  Replacement of Atrial Septum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  02R607Z  Replacement of Right Atrium with Autologous Tissue Substitute, Open Approach
  02R608Z  Replacement of Right Atrium with Zooplastic Tissue, Open Approach
  02R60JZ  Replacement of Right Atrium with Synthetic Substitute, Open Approach
  02R60KZ  Replacement of Right Atrium with Nonautologous Tissue Substitute, Open Approach
  02R647Z  Replacement of Right Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  02R648Z  Replacement of Right Atrium with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02R64JZ  Replacement of Right Atrium with Synthetic Substitute, Percutaneous Endoscopic Approach
  02R64KZ  Replacement of Right Atrium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  02R707Z  Replacement of Left Atrium with Autologous Tissue Substitute, Open Approach
  02R708Z  Replacement of Left Atrium with Zooplastic Tissue, Open Approach
  02R70JZ  Replacement of Left Atrium with Synthetic Substitute, Open Approach
  02R70KZ  Replacement of Left Atrium with Nonautologous Tissue Substitute, Open Approach
  02R747Z  Replacement of Left Atrium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  02R748Z  Replacement of Left Atrium with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02R74JZ  Replacement of Left Atrium with Synthetic Substitute, Percutaneous Endoscopic Approach
  02R74KZ  Replacement of Left Atrium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RK08Z  Replacement of Right Ventricle with Zooplastic Tissue, Open Approach
  02RK0JZ  Replacement of Right Ventricle with Synthetic Substitute, Open Approach
  02RK48Z  Replacement of Right Ventricle with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02RK4JZ  Replacement of Right Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach
  02RL08Z  Replacement of Left Ventricle with Zooplastic Tissue, Open Approach
  02RL0JZ  Replacement of Left Ventricle with Synthetic Substitute, Open Approach
  02RL48Z  Replacement of Left Ventricle with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02RL4JZ  Replacement of Left Ventricle with Synthetic Substitute, Percutaneous Endoscopic Approach
  02RM08Z  Replacement of Ventricular Septum with Zooplastic Tissue, Open Approach
  02RM48Z  Replacement of Ventricular Septum with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02RN07Z  Replacement of Pericardium with Autologous Tissue Substitute, Open Approach
  02RN08Z  Replacement of Pericardium with Zooplastic Tissue, Open Approach
  02RN0JZ  Replacement of Pericardium with Synthetic Substitute, Open Approach
  02RN0KZ  Replacement of Pericardium with Nonautologous Tissue Substitute, Open Approach
  02RN47Z  Replacement of Pericardium with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RN48Z  Replacement of Pericardium with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02RN4JZ  Replacement of Pericardium with Synthetic Substitute, Percutaneous Endoscopic Approach
  02RN4KZ  Replacement of Pericardium with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RP07Z  Replacement of Pulmonary Trunk with Autologous Tissue Substitute, Open Approach
  02RP08Z  Replacement of Pulmonary Trunk with Zooplastic Tissue, Open Approach
  02RP0JZ  Replacement of Pulmonary Trunk with Synthetic Substitute, Open Approach
  02RP0KZ  Replacement of Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach
  02RP47Z  Replacement of Pulmonary Trunk with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RP48Z  Replacement of Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02RP4JZ  Replacement of Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach
  02RP4KZ  Replacement of Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RQ07Z  Replacement of Right Pulmonary Artery with Autologous Tissue Substitute, Open Approach
  02RQ08Z  Replacement of Right Pulmonary Artery with Zooplastic Tissue, Open Approach
  02RQ0JZ  Replacement of Right Pulmonary Artery with Synthetic Substitute, Open Approach
  02RQ0KZ  Replacement of Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
  02RQ47Z  Replacement of Right Pulmonary Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RQ48Z  Replacement of Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02RQ4JZ  Replacement of Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  02RQ4KZ  Replacement of Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RR07Z  Replacement of Left Pulmonary Artery with Autologous Tissue Substitute, Open Approach
  02RR08Z  Replacement of Left Pulmonary Artery with Zooplastic Tissue, Open Approach
  02RR0JZ  Replacement of Left Pulmonary Artery with Synthetic Substitute, Open Approach
  02RR0KZ  Replacement of Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
  02RR47Z  Replacement of Left Pulmonary Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RR48Z  Replacement of Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02RR4JZ  Replacement of Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  02RR4KZ  Replacement of Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RS07Z  Replacement of Right Pulmonary Vein with Autologous Tissue Substitute, Open Approach
  02RS08Z  Replacement of Right Pulmonary Vein with Zooplastic Tissue, Open Approach
  02RS0JZ  Replacement of Right Pulmonary Vein with Synthetic Substitute, Open Approach
  02RS0KZ  Replacement of Right Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach
  02RS47Z  Replacement of Right Pulmonary Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RS48Z  Replacement of Right Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02RS4JZ  Replacement of Right Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
  02RS4KZ  Replacement of Right Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RT07Z  Replacement of Left Pulmonary Vein with Autologous Tissue Substitute, Open Approach
  02RT08Z  Replacement of Left Pulmonary Vein with Zooplastic Tissue, Open Approach
  02RT0JZ  Replacement of Left Pulmonary Vein with Synthetic Substitute, Open Approach
  02RT0KZ  Replacement of Left Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach
  02RT47Z  Replacement of Left Pulmonary Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RT48Z  Replacement of Left Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach
  02RT4JZ  Replacement of Left Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
  02RT4KZ  Replacement of Left Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  02RV07Z  Replacement of Superior Vena Cava with Autologous Tissue Substitute, Open Approach
  02RV08Z  Replacement of Superior Vena Cava with Zooplastic Tissue, Open Approach
  02RV0JZ  Replacement of Superior Vena Cava with Synthetic Substitute, Open Approach
